!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 13:08:08
!Source: Standard

!CW Freq: 1000000000 Hz
BEGIN CH1_DATA
"Time(s)","b1,2 (DB)","b1,2 (DEG)","a2,2 (DB)","a2,2 (DEG)","S22 (DB)","S22 (DEG)"
0.0124,-92.336624,-12.424261,-40.357655,105.90759,-0.54981381,-116.09959
0.0125,-84.032928,-3.1312337,-40.447937,106.9488,-0.42211148,-117.00654
0.0126,-81.300377,134.30516,-40.355217,106.5416,-0.48933762,-116.26124
0.0127,-83.877586,-153.56305,-40.516666,106.82291,-0.42654875,-116.9336
0.0128,-90.687897,-116.92918,-40.611248,107.1301,-0.24608766,-116.94495
0.0129,-93.263611,175.78833,-40.36549,106.10424,-0.47136822,-116.01286
0.013,-82.89196,-86.422981,-40.431511,106.77708,-0.4482893,-116.9013
0.0131,-81.598259,24.629749,-40.416313,106.29537,-0.52625573,-116.40736
0.0132,-85.927528,122.36054,-40.618347,106.32565,-0.26341203,-116.77978
0.0133,-83.464699,157.18875,-40.395535,106.68271,-0.50832039,-116.68792
0.0134,-88.992317,5.3929648,-40.487854,106.37926,-0.42018425,-116.63738
0.0135,-96.05619,-34.236843,-40.321602,106.57292,-0.52571142,-115.7416
0.0136,-87.117516,106.3264,-40.469177,107.39352,-0.40408823,-117.16714
0.0137,-86.597382,-92.94397,-40.414082,106.55171,-0.46397847,-116.94834
0.0138,-87.902229,71.120583,-40.401146,106.17649,-0.48313773,-115.8997
0.0139,-82.921478,-137.43634,-40.423557,106.7728,-0.45753014,-116.3139
0.014,-92.989395,101.08587,-40.469868,106.72213,-0.46296149,-117.10188
0.0141,-87.943939,154.05927,-40.516453,106.60274,-0.38681236,-115.96742
0.0142,-88.486473,-71.056282,-40.341106,107.15039,-0.57469362,-116.86038
0.0143,-80.576019,-123.23262,-40.487946,106.71487,-0.47918713,-116.19456
0.0144,-93.149055,-141.04977,-40.366108,107.14266,-0.50232172,-117.32482
0.0145,-93.631355,-15.428313,-40.370087,106.10491,-0.51837826,-116.29265
0.0146,-89.380707,14.130338,-40.479095,105.45615,-0.42191407,-115.23372
0.0147,-94.853157,-105.62262,-40.430859,106.3951,-0.50199074,-116.26101
0.0148,-85.141571,-23.712141,-40.406471,106.45615,-0.50274807,-116.50676
0.0149,-86.253281,68.08036,-40.381607,106.14021,-0.50761676,-116.31831
0.015,-84.817558,-22.980837,-40.486973,106.5574,-0.43065637,-116.45492
0.0151,-79.707947,69.996941,-40.372425,106.59853,-0.54156685,-116.25169
0.0152,-94.008858,88.195389,-40.461411,105.92962,-0.43366566,-115.82318
0.0153,-85.638626,-12.205202,-40.42741,106.41813,-0.45435399,-116.34447
0.0154,-89.374985,-97.619568,-40.329845,106.90257,-0.53931212,-117.04756
0.0155,-84.686913,-87.304871,-40.459019,106.73067,-0.39484745,-117.04387
0.0156,-86.720566,87.290031,-40.465656,106.91659,-0.44192326,-116.43601
0.0157,-85.941574,-17.005337,-40.408463,106.96653,-0.52746594,-116.58539
0.0158,-81.766441,-179.65479,-40.398884,106.5876,-0.47367772,-116.60021
0.0159,-99.618347,148.92244,-40.536125,106.68105,-0.23119548,-116.91953
0.016,-85.146599,-102.93632,-40.488083,106.03529,-0.3856577,-115.81225
0.0161,-81.522163,119.71165,-40.520679,106.3905,-0.41087219,-116.1842
0.0162,-83.509819,164.81264,-40.405418,106.81284,-0.46392977,-116.9825
0.0163,-85.42028,24.003744,-40.50161,106.65208,-0.38700846,-116.56823
0.0164,-82.002754,-6.5566602,-40.432171,106.90199,-0.48517126,-116.61091
0.0165,-87.95536,-82.240448,-40.420689,106.67288,-0.54883587,-117.0452
0.0166,-81.149414,-160.12144,-40.573463,106.58166,-0.25737786,-116.06214
0.0167,-81.430229,10.287826,-40.516415,106.4504,-0.43432131,-116.46527
0.0168,-95.133682,-46.639389,-40.477459,107.16856,-0.4322474,-117.38947
0.0169,-82.796646,85.022522,-40.456524,107.00325,-0.41980529,-116.58886
0.017,-80.757408,-35.333973,-40.403736,106.93017,-0.50179458,-116.59132
0.0171,-85.344765,-61.920036,-40.454502,106.55704,-0.38447562,-115.71507
0.0172,-104.4437,32.595688,-40.438229,106.21801,-0.40969262,-116.42542
0.0173,-80.790894,-107.38886,-40.484375,106.45314,-0.42660585,-116.00182
0.0174,-81.384247,135.44867,-40.354641,106.35342,-0.54838353,-115.81793
0.0175,-86.70118,21.10218,-40.439072,106.27605,-0.43660831,-115.85278
0.0176,-89.983376,56.287537,-40.419224,106.83031,-0.49744526,-116.71828
0.0177,-82.654778,-70.473488,-40.44318,106.18855,-0.45651469,-115.98262
0.0178,-83.425377,4.6553617,-40.396263,105.87409,-0.51185751,-115.76768
0.0179,-88.742249,27.485613,-40.328945,106.73691,-0.55028361,-116.66059
0.018,-89.934547,135.9393,-40.404755,106.57854,-0.37509128,-116.35155
0.0181,-90.058952,-55.542767,-40.50243,106.32874,-0.43091622,-116.35161
0.0182,-80.46048,-29.140825,-40.407341,106.685,-0.50426888,-117.01102
0.0183,-85.291817,-172.73175,-40.454494,106.0472,-0.39463654,-115.86255
0.0184,-90.660309,-37.651508,-40.476818,106.76001,-0.44598526,-116.77252
0.0185,-82.851868,-163.3647,-40.557552,106.24192,-0.34365168,-116.21109
0.0186,-82.506744,-4.9184809,-40.43256,106.27437,-0.49850723,-116.63892
0.0187,-84.081573,-28.513697,-40.476223,106.78718,-0.46059638,-116.65809
0.0188,-100.41277,12.222985,-40.369106,107.18261,-0.49243569,-117.14017
0.0189,-84.098175,60.655399,-40.501709,106.62624,-0.43522659,-116.79857
0.019,-83.854698,-22.546963,-40.437752,106.42857,-0.48205695,-115.9779
0.0191,-92.670715,171.75389,-40.475967,106.83224,-0.4190506,-116.32001
0.0192,-81.415794,-64.274933,-40.501038,106.75278,-0.39702895,-116.55772
0.0193,-91.075226,-10.169716,-40.428452,106.40388,-0.50917655,-116.54849
0.0194,-92.201027,15.269209,-40.410156,106.10239,-0.52516246,-115.89689
0.0195,-86.830551,38.986305,-40.415218,106.93186,-0.52219945,-116.50168
0.0196,-91.147697,177.68333,-40.371525,106.08696,-0.5279336,-115.91838
0.0197,-95.844292,-23.116833,-40.417812,106.74641,-0.46887887,-116.52485
0.0198,-83.549362,-73.845581,-40.477928,107.09541,-0.5092805,-116.725
0.0199,-82.878685,-108.59259,-40.373398,106.38304,-0.50052673,-116.28191
0.02,-86.156624,-47.678844,-40.468346,106.89695,-0.46989781,-117.00279
0.0201,-83.612984,-155.9632,-40.501186,106.54877,-0.30471846,-116.38374
END

