!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 13:09:33
!Source: Standard

!CW Freq: 1000000000 Hz
BEGIN CH1_DATA
Time(s),"b1,2"(DB),"b1,2"(DEG),"a2,2"(DB),"a2,2"(DEG),S22(DB),S22(DEG)
0.0144,-87.551491,71.628731,-0.55311143,93.370255,-0.4506256,-116.35737
0.0145,-100.36085,-95.881409,-0.55260515,93.568008,-0.45086998,-116.3532
0.0146,-95.004974,-99.746994,-0.5523991,93.482208,-0.45132518,-116.35581
0.0147,-95.957886,132.98112,-0.55249786,93.521095,-0.45017305,-116.35348
0.0148,-84.68544,-3.601681,-0.55357748,93.419647,-0.44950554,-116.3548
0.0149,-82.758263,51.68261,-0.55329698,93.458084,-0.45052797,-116.35892
0.015,-83.465393,-100.51875,-0.55238706,93.43782,-0.4502925,-116.3504
0.0151,-83.149261,-170.68019,-0.55147231,93.53849,-0.45129904,-116.35838
0.0152,-85.798363,-143.14952,-0.55358428,93.479889,-0.44925979,-116.35286
0.0153,-81.586655,-67.768074,-0.55327696,93.568207,-0.44966975,-116.35251
0.0154,-82.328026,-117.18016,-0.55203021,93.443741,-0.44953424,-116.34911
0.0155,-85.535995,-169.6436,-0.55237967,93.441956,-0.4514415,-116.35543
0.0156,-93.713844,-127.07098,-0.55206162,93.349678,-0.44960487,-116.3577
0.0157,-81.438515,-94.247467,-0.55363071,93.302917,-0.44958133,-116.36073
0.0158,-87.575836,-5.6149716,-0.55148643,93.407692,-0.45097163,-116.35379
0.0159,-89.640701,-33.217876,-0.55314642,93.554115,-0.44887081,-116.35542
0.016,-82.522041,-40.774498,-0.55276042,93.456841,-0.45043233,-116.35611
0.0161,-82.586494,143.28543,-0.55351222,93.4319,-0.44817939,-116.35353
0.0162,-87.726189,35.829594,-0.55281305,93.493881,-0.45020637,-116.3512
0.0163,-83.136589,-27.86751,-0.55332667,93.448006,-0.44954601,-116.3514
0.0164,-90.547249,135.88913,-0.5528186,93.651131,-0.45052883,-116.35426
0.0165,-86.185432,17.231119,-0.55335844,93.619537,-0.4489578,-116.36086
0.0166,-79.551727,89.86911,-0.5530203,93.413918,-0.45027068,-116.34853
0.0167,-90.789352,-148.07536,-0.55270451,93.485077,-0.44795296,-116.34606
0.0168,-79.648659,-26.364897,-0.55272776,93.500397,-0.44949001,-116.36297
0.0169,-80.684242,31.974451,-0.55257869,93.540283,-0.45014089,-116.34467
0.017,-94.221443,33.023823,-0.55381835,93.438293,-0.44763583,-116.35905
0.0171,-83.076874,30.283976,-0.55363011,93.388489,-0.44979665,-116.34673
0.0172,-85.210976,-169.20247,-0.55232,93.354042,-0.44982591,-116.35134
0.0173,-84.211555,36.824959,-0.55313939,93.487213,-0.44886938,-116.35187
0.0174,-85.367043,-67.370613,-0.55255491,93.526062,-0.45100236,-116.35823
0.0175,-87.542206,-96.463547,-0.55133563,93.444641,-0.45128125,-116.35282
0.0176,-80.952675,44.370972,-0.55206662,93.443474,-0.45130047,-116.35567
0.0177,-79.47673,-139.0262,-0.5530532,93.54567,-0.44961548,-116.36062
0.0178,-86.158287,65.8022,-0.55271691,93.421959,-0.4498845,-116.35379
0.0179,-93.600151,149.06725,-0.5511775,93.438522,-0.45173821,-116.34932
0.018,-81.447731,77.840317,-0.55293506,93.397224,-0.44974926,-116.35258
0.0181,-88.686508,-28.975224,-0.55191261,93.406265,-0.45060635,-116.35748
0.0182,-79.739525,-71.379349,-0.5508725,93.356308,-0.45034793,-116.36375
0.0183,-85.396126,99.481926,-0.55321878,93.342545,-0.45036057,-116.36066
0.0184,-80.208649,-76.020599,-0.55313289,93.637634,-0.44998842,-116.3522
0.0185,-86.634392,141.19118,-0.55245525,93.381371,-0.44900861,-116.34427
0.0186,-81.518616,-62.033356,-0.55168217,93.445557,-0.45101559,-116.34959
0.0187,-89.245941,103.4537,-0.55285567,93.454727,-0.44940245,-116.35298
0.0188,-91.672073,-171.07175,-0.5527516,93.329811,-0.44936544,-116.34882
0.0189,-81.932831,-157.3243,-0.55256814,93.396584,-0.45094436,-116.34499
0.019,-87.273895,-116.29773,-0.55300999,93.420609,-0.4489153,-116.36399
0.0191,-80.352127,80.888596,-0.55249405,93.521729,-0.44853729,-116.35949
0.0192,-99.716896,99.679962,-0.55293506,93.542931,-0.45018771,-116.35341
0.0193,-93.236015,-32.52446,-0.55220741,93.413963,-0.45051563,-116.35666
0.0194,-89.93792,-145.46205,-0.55273569,93.46431,-0.44989455,-116.3546
0.0195,-82.853477,-130.09938,-0.55269867,93.36689,-0.45034993,-116.35429
0.0196,-99.355247,-100.36919,-0.55193055,93.376518,-0.4501096,-116.34876
0.0197,-85.444664,26.716097,-0.55326521,93.347603,-0.44898391,-116.35754
0.0198,-84.479149,83.015488,-0.55315024,93.4048,-0.44858694,-116.35192
0.0199,-82.990463,41.480457,-0.55310732,93.370995,-0.44846812,-116.35372
0.02,-90.363419,-1.7355793,-0.55335313,93.470604,-0.44921386,-116.35486
0.0201,-89.205521,-54.955532,-0.5531826,93.450592,-0.44946247,-116.36337
END

