!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 13:10:05
!Source: Standard

!CW Freq: 1000000000 Hz
BEGIN CH1_DATA
"Time(s)","b1,2 (DB)","b1,2 (DEG)","a2,2 (DB)","a2,2 (DEG)","S22 (DB)","S22 (DEG)"
0.27,-97.79808,-93.085159,-0.55122513,0.92949706,-0.44893599,-116.35178
0.272,-91.759323,-143.44116,-0.55119133,0.94720668,-0.44852236,-116.34901
0.274,-94.819603,-78.366348,-0.55160838,0.95327747,-0.44842362,-116.34973
0.276,-95.704796,-58.184639,-0.5516898,1.0240768,-0.44852379,-116.35103
0.278,-90.438705,-117.95961,-0.55136591,1.0151262,-0.44896871,-116.35039
0.28,-93.149071,-71.765022,-0.55173421,-1.8410288,-0.44816619,-116.34916
0.282,-92.460297,-91.408142,-0.55178857,-1.7719059,-0.44861162,-116.35159
0.284,-99.217773,171.84651,-0.55177325,-1.8017896,-0.44855538,-116.34969
0.286,-93.556419,-149.46674,-0.55190438,-1.748969,-0.44885388,-116.35096
0.288,-91.129707,-139.25931,-0.55174857,-1.6952418,-0.44859123,-116.35227
0.29,-94.646866,-133.14133,-0.55161071,-1.7153065,-0.44871956,-116.35189
0.292,-97.221779,-141.37607,-0.55153841,-1.6754153,-0.44873419,-116.35191
0.294,-92.050262,-123.60154,-0.55171686,-1.6733235,-0.44844228,-116.34919
0.296,-96.763809,-136.59367,-0.55159456,-1.6465938,-0.44848305,-116.3499
0.298,-96.520821,172.91658,-0.55176622,-1.6560674,-0.44835761,-116.35143
0.3,-92.89669,-83.191864,-0.55164897,-1.621485,-0.44825056,-116.35159
0.302,-95.50322,-121.05501,-0.55149406,-1.6405523,-0.44867879,-116.35237
0.304,-88.979774,172.82637,-0.55143172,-1.5866165,-0.44879302,-116.35089
0.306,-95.730873,-78.710106,-0.55144995,-1.5802912,-0.44883063,-116.35173
0.308,-90.904663,-142.74002,-0.5516566,-1.5502771,-0.44851002,-116.35004
0.31,-96.606964,-172.45685,-0.55140591,-1.5853952,-0.44893253,-116.3511
0.312,-96.692947,-118.22468,-0.55162835,-1.5654082,-0.44853786,-116.35181
0.314,-94.719353,-67.486519,-0.55143589,-1.5170012,-0.44889322,-116.35018
0.316,-95.697472,-99.385246,-0.55189204,-1.5331664,-0.44848764,-116.35172
0.318,-95.776367,-62.230598,-0.55153549,-1.5410013,-0.44853011,-116.35218
0.32,-92.100174,-109.22727,-0.55203164,-1.4695034,-0.4480072,-116.34985
0.322,-89.432739,178.50412,-0.55193937,-1.5160892,-0.44838545,-116.35158
0.324,-96.411079,-67.483345,-0.55192965,-1.4373888,-0.44853756,-116.35249
0.326,-93.258385,-110.22562,-0.55166775,-1.4118745,-0.44874796,-116.35148
0.328,-96.09893,-117.04138,-0.55187029,-1.435431,-0.44852838,-116.35253
0.33,-90.022026,-175.09608,-0.55211425,-1.4508851,-0.4483467,-116.34959
0.332,-100.63989,-83.398506,-0.55184031,-1.4322544,-0.44870949,-116.35225
0.334,-89.61673,-104.15825,-0.55193084,-1.4092073,-0.44839779,-116.352
0.336,-88.656349,-124.655,-0.55217361,-1.4275997,-0.44831485,-116.35066
0.338,-93.572166,-132.29878,-0.55183649,-1.3565162,-0.44862309,-116.35268
0.34,-102.82047,131.54022,-0.5519793,-1.3448837,-0.44833121,-116.35056
0.342,-99.432266,-105.45613,-0.55199784,-1.3888632,-0.44829476,-116.35203
0.344,-93.080452,-113.65916,-0.55170274,-1.3167062,-0.44847786,-116.35144
0.346,-96.992233,-172.64284,-0.55152547,-1.310122,-0.44881484,-116.35192
0.348,-90.117645,-91.347336,-0.5515005,-1.3356243,-0.448816,-116.35049
0.35,-90.569702,-144.40698,-0.55183238,-1.3211591,-0.44871667,-116.35111
0.352,-89.779121,-120.10725,-0.55145937,-1.3338916,-0.44843882,-116.35326
0.354,-98.408936,-119.65116,-0.55153728,-1.3184878,-0.44814438,-116.35174
0.356,-96.330368,-113.35737,-0.55168951,-1.2716134,-0.44857144,-116.35326
0.358,-92.878487,-120.41454,-0.55116284,-1.2869956,-0.44868597,-116.34983
0.36,-102.0872,-178.75063,-0.55143732,-1.2686535,-0.44885102,-116.35312
0.362,-93.71479,-111.55869,-0.55148405,-1.2013366,-0.44881311,-116.35158
0.364,-88.392662,-130.9119,-0.55134505,-1.2628971,-0.44879821,-116.34964
0.366,-113.17195,-46.160378,-0.55203694,-1.2028567,-0.44847557,-116.35023
0.368,-99.111938,139.83226,-0.55159575,-1.1570195,-0.44860932,-116.35383
0.37,-96.551643,-145.62575,-0.55149728,-1.1686146,-0.44880596,-116.35018
0.372,-92.850868,-155.30229,-0.55137444,-1.1613078,-0.44855997,-116.35125
0.374,-97.410629,-145.14429,-0.55207253,-1.1420146,-0.44854704,-116.34954
0.376,-93.851433,-124.80439,-0.55144823,-1.0974268,-0.44879878,-116.34898
0.378,-98.258522,-107.90919,-0.55186206,-1.1646899,-0.4485769,-116.34985
0.38,-86.628845,-135.35535,-0.55144703,-1.1340296,-0.44872242,-116.35317
0.382,-89.770126,-108.26263,-0.5515458,-1.0997963,-0.44857833,-116.35182
0.384,-96.269829,-164.32858,-0.55147761,-1.1178955,-0.4486191,-116.35274
0.386,-92.915573,177.83965,-0.55149847,-1.1176529,-0.44860876,-116.35094
0.388,-96.540443,111.21443,-0.55114728,-1.0900698,-0.44879359,-116.3521
0.39,-88.880249,-142.20401,-0.55109787,-1.1095879,-0.44914094,-116.35102
0.392,-92.619362,-155.78061,-0.55157721,-1.042451,-0.44891819,-116.35134
0.394,-90.994591,-166.88347,-0.55181444,-1.0173423,-0.44872817,-116.35151
0.396,-93.987312,-76.193344,-0.55117196,-0.98911768,-0.44869775,-116.35275
0.398,-97.682671,153.96185,-0.5517239,-0.97779334,-0.44853756,-116.35047
0.4,-94.352722,-94.626213,-0.55177563,-0.95440966,-0.44856456,-116.35182
0.402,-94.164001,-98.459602,-0.55207604,-0.93993628,-0.44853643,-116.3495
END

