!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 13:50:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S21_Mem(DB),S21_Mem(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG)
870256500,-37.753582,50.767513,0.11874899,-3.1028469,0.11265229,-0.17894778,0.1212192,-3.1332159,-36.763145,-129.7874
900255000,-38.214447,50.5481,0.11979465,-3.2473748,0.11374784,-0.22267668,0.12242433,-3.2772448,-35.990673,-129.75105
930253500,-38.742298,50.607262,0.12243339,-3.3912587,0.11596232,-0.26238692,0.12470181,-3.4151194,-35.544415,-129.54239
960252000,-39.425339,51.712166,0.12490605,-3.5335693,0.11834496,-0.30430305,0.12676439,-3.5597117,-35.387215,-128.78633
990250500,-40.234062,54.126759,0.12890439,-3.6752701,0.12078569,-0.33973551,0.13215788,-3.6980903,-35.658741,-127.27754
1020249000,-40.763832,54.690643,0.13408589,-3.7999048,0.12639177,-0.36348265,0.13567136,-3.8292708,-35.917755,-127.50392
1050247500,-41.502834,54.620258,0.13831753,-3.9271047,0.12924764,-0.38734019,0.14197987,-3.9593596,-36.336235,-127.98479
1080246000,-42.048317,53.847137,0.14472185,-4.0502381,0.13554741,-0.40414149,0.1458519,-4.0768719,-36.847248,-128.71156
1110244500,-42.559498,49.399227,0.14994055,-4.1618552,0.14007489,-0.41396716,0.1523551,-4.1970983,-36.901817,-129.98071
1140243000,-42.932056,42.384506,0.15428318,-4.2751966,0.14486456,-0.42494187,0.15628232,-4.3108926,-36.902084,-132.39772
1170241500,-42.917442,35.578983,0.15765202,-4.3870792,0.14846686,-0.4367429,0.16019551,-4.4262309,-36.335445,-133.5076
1200240000,-42.845707,29.03896,0.16105965,-4.5108552,0.15087374,-0.45556492,0.16327158,-4.5470481,-35.488022,-133.6483
1230238500,-42.663551,22.93758,0.16164827,-4.6376452,0.15242508,-0.47896031,0.16437787,-4.6670523,-34.431843,-132.54546
1260237000,-42.555222,18.311405,0.16377266,-4.7511287,0.15302338,-0.48625505,0.1648225,-4.8185997,-33.315216,-131.20055
1290235500,-42.393768,17.968716,0.16259441,-4.8979063,0.15168373,-0.51743776,0.16528602,-4.9610038,-32.312763,-129.30563
1320234000,-42.408092,19.942934,0.16301727,-5.0320158,0.15159224,-0.55952269,0.16585265,-5.1055522,-31.396637,-126.92095
1350232500,-42.608566,24.1292,0.16312449,-5.1795511,0.15116625,-0.60647106,0.16561046,-5.2524433,-30.672083,-124.27252
1380231000,-42.915295,30.123573,0.16351341,-5.3309178,0.15116625,-0.64768654,0.16537623,-5.3935118,-30.159693,-121.49719
1410229500,-43.410069,36.912018,0.16487783,-5.4645314,0.1526785,-0.68430817,0.16809003,-5.5466828,-29.964289,-119.1917
1440228000,-44.24229,47.563931,0.16655473,-5.5969486,0.15383947,-0.71271408,0.16951476,-5.6773977,-29.856178,-116.30352
1470226500,-45.378887,57.090473,0.16943859,-5.7311349,0.15548117,-0.74076742,0.17232053,-5.8000879,-29.944845,-113.84184
1500225000,-47.069878,67.410088,0.17263846,-5.8554935,0.15962565,-0.7580598,0.17514636,-5.9247437,-30.147402,-111.65417
1530223500,-49.127926,82.938911,0.17600951,-5.9707198,0.16267769,-0.76791745,0.17838626,-6.0434222,-30.355749,-110.40652
1560222000,-52.120186,107.49311,0.17952497,-6.0887723,0.1663928,-0.78661883,0.18277451,-6.160965,-30.47016,-109.29504
1590220500,-53.265572,152.55122,0.18342522,-6.196321,0.16949235,-0.79792213,0.18642437,-6.2733679,-30.480877,-109.43163
1620219000,-49.203014,-168.81929,0.18809545,-6.3091211,0.17301011,-0.80572057,0.19003747,-6.3917327,-30.283195,-109.96507
1650217500,-46.136276,-157.32329,0.19062664,-6.4318233,0.17514238,-0.81828839,0.19240606,-6.4988799,-29.912092,-110.9614
1680216000,-43.452705,-151.14171,0.1923808,-6.552228,0.177371,-0.84650457,0.19556087,-6.6247497,-29.455896,-112.01591
1710214500,-41.84697,-150.80859,0.19447882,-6.6832223,0.17812887,-0.87400967,0.19726999,-6.7629871,-28.901104,-112.99883
1740213000,-40.532387,-153.15508,0.19542922,-6.8174939,0.17898148,-0.90653527,0.19794129,-6.8957205,-28.374947,-113.35652
1770211500,-39.63007,-158.62543,0.19675,-6.9553332,0.17927659,-0.93942904,0.19984776,-7.0420218,-27.947344,-113.39584
1800210000,-38.993073,-163.9639,0.1981426,-7.1022186,0.18113911,-0.97977668,0.20078956,-7.1873546,-27.671051,-113.24377
1830208500,-38.69025,-170.47717,0.19861941,-7.250998,0.1798851,-1.0295135,0.20159672,-7.3277855,-27.485764,-112.63441
1860207000,-38.350967,-177.78838,0.19962922,-7.3905416,0.18148322,-1.0650365,0.2020084,-7.4737568,-27.49189,-111.71514
1890205500,-38.179169,175.74913,0.20011623,-7.5302343,0.18084116,-1.096185,0.20185125,-7.6118803,-27.579903,-110.34249
1920204000,-38.209286,170.31665,0.20183493,-7.6666989,0.18168432,-1.1303124,0.20346107,-7.7451282,-27.791063,-108.99754
1950202500,-38.246475,166.96463,0.20281138,-7.7952609,0.18393143,-1.1482458,0.20449692,-7.8746223,-28.079128,-108.09814
1980201000,-38.685226,165.1736,0.20529154,-7.9138331,0.18440978,-1.1611191,0.20675595,-7.9999599,-28.384254,-107.36076
2010199500,-39.228401,166.481,0.20593987,-8.0388699,0.18585894,-1.1843607,0.20896743,-8.122551,-28.7428,-106.86794
2040198000,-39.988689,170.3775,0.20722194,-8.1549044,0.18662573,-1.1970332,0.21139674,-8.2483673,-29.062395,-107.1302
2070196500,-40.875824,178.06114,0.2102116,-8.2832108,0.18927523,-1.2272409,0.21355903,-8.3645267,-29.330875,-108.22392
2100195000,-41.628258,-173.12027,0.21229067,-8.4034252,0.19155806,-1.2364314,0.21495563,-8.4848986,-29.469658,-109.75074
2130193500,-41.914978,-161.39619,0.21547049,-8.5303621,0.19444022,-1.2590252,0.21718264,-8.6082058,-29.518501,-112.02882
2160192000,-42.231819,-151.15102,0.21784446,-8.6575031,0.19645213,-1.2886221,0.22001094,-8.7369347,-29.45863,-114.40144
2190190500,-42.375862,-143.37399,0.21873905,-8.7928162,0.19704637,-1.3163031,0.22268492,-8.875864,-29.329657,-116.97277
2220189000,-42.825569,-139.82755,0.22175278,-8.9270821,0.19871338,-1.3550789,0.22437505,-9.0170546,-29.123709,-119.35417
2250187500,-43.403198,-137.99399,0.22418626,-9.0676718,0.20025367,-1.3906778,0.22584975,-9.1644945,-28.988516,-121.71543
2280186000,-44.891727,-138.67155,0.22547129,-9.2229424,0.20160265,-1.4314026,0.22691712,-9.3058615,-28.81881,-123.70599
2310184500,-46.543648,-143.40193,0.22603111,-9.3646622,0.20195305,-1.4765854,0.22922002,-9.450799,-28.761978,-125.55566
2340183000,-49.219383,-157.78658,0.22835216,-9.5164289,0.20326939,-1.5229446,0.23006317,-9.593399,-28.78458,-127.03687
2370181500,-50.669685,-178.27536,0.22900933,-9.6485653,0.20441592,-1.5530906,0.23188786,-9.7367916,-28.956921,-127.84121
2400180000,-50.879936,153.5224,0.23188835,-9.7964334,0.20543721,-1.5983331,0.23357147,-9.894021,-29.114946,-128.67735
2430178500,-50.354797,133.04048,0.23308426,-9.9394903,0.20632695,-1.630823,0.23442946,-10.023049,-29.378134,-129.38489
2460177000,-49.208141,119.51656,0.23505041,-10.076941,0.20837383,-1.6690073,0.23756959,-10.161467,-29.6126,-129.63637
2490175500,-49.340996,107.51646,0.23878795,-10.204661,0.21154961,-1.6883131,0.24029548,-10.2903,-29.878376,-129.89459
2520174000,-50.878204,96.605606,0.24050073,-10.33096,0.21374682,-1.7168211,0.2443251,-10.43745,-30.144411,-130.1747
2550172500,-52.36322,75.124954,0.2444538,-10.467566,0.21612026,-1.740029,0.24787226,-10.561399,-30.332523,-131.70279
2580171000,-51.193859,41.851067,0.24884625,-10.589928,0.21999224,-1.7658966,0.25159782,-10.679227,-30.495386,-133.44215
2610169500,-48.782856,20.05818,0.25412011,-10.708733,0.22435932,-1.7788115,0.25516784,-10.806229,-30.665016,-135.32304
2640168000,-45.217167,7.734642,0.25692543,-10.842705,0.22728808,-1.804933,0.25961775,-10.926561,-30.744762,-138.61461
2670166500,-42.138275,5.239923,0.26045355,-10.947403,0.23112804,-1.8156524,0.26272705,-11.049355,-30.774042,-142.62921
2700165000,-39.920563,6.357748,0.26350817,-11.068217,0.23358864,-1.8248987,0.26597533,-11.174079,-30.807486,-146.84038
2730163500,-38.016548,7.9322128,0.26537097,-11.198795,0.23445645,-1.8441268,0.26697496,-11.294932,-30.662722,-151.36156
2760162000,-36.583916,10.969556,0.26540944,-11.328373,0.23399828,-1.8707528,0.26719549,-11.422366,-30.510254,-155.22356
2790160500,-35.503235,14.225796,0.26355639,-11.46481,0.23255774,-1.9004741,0.26660103,-11.559842,-30.160612,-158.10031
2820159000,-34.729546,18.538061,0.26204279,-11.60597,0.2307515,-1.9416888,0.26485616,-11.69601,-29.979025,-159.99857
2850157500,-34.395004,22.788134,0.26147103,-11.754784,0.22902702,-1.9873379,0.26339316,-11.85436,-29.747606,-160.4994
2880156000,-34.185017,27.735962,0.25896811,-11.904788,0.22829616,-2.0316632,0.26247069,-12.000677,-29.609922,-160.29681
2910154500,-34.300251,32.302002,0.25866911,-12.067187,0.2259161,-2.088352,0.26102495,-12.166587,-29.56366,-159.48126
2940153000,-34.527901,37.276138,0.25844669,-12.228099,0.22635251,-2.1502547,0.26205498,-12.32219,-29.500378,-158.10252
2970151500,-34.903362,42.215385,0.26147589,-12.391065,0.22717164,-2.2009404,0.26283571,-12.486746,-29.582434,-156.23335
3000150000,-35.232059,47.266251,0.26405334,-12.534214,0.22935949,-2.2486088,0.26671985,-12.6389,-29.797009,-153.82162
3030148500,-35.53294,52.032417,0.2672841,-12.681269,0.23281145,-2.2833478,0.26940027,-12.78068,-30.151049,-151.87456
3060147000,-35.796444,54.237473,0.27215245,-12.816686,0.23633911,-2.3182607,0.27436784,-12.917092,-30.427393,-150.19838
3090145500,-35.853458,55.640556,0.27609822,-12.945364,0.23956065,-2.3434215,0.2790404,-13.047219,-30.817957,-149.71268
3120144000,-35.561619,54.696365,0.27951083,-13.054233,0.24253108,-2.3455431,0.28090239,-13.160564,-31.11307,-149.5121
3150142500,-34.958786,52.801483,0.28365409,-13.16656,0.24627979,-2.3533928,0.2846089,-13.273386,-31.312441,-150.48782
3180141000,-34.158657,51.432159,0.28459775,-13.274745,0.24672003,-2.3568532,0.28621113,-13.385359,-31.335371,-151.84329
3210139500,-33.28447,51.230854,0.28384808,-13.383305,0.2451428,-2.3719537,0.28563529,-13.492713,-31.34008,-153.6985
3240138000,-32.311924,51.670124,0.28103632,-13.501772,0.24313618,-2.3727989,0.2840144,-13.602375,-31.289259,-155.21599
3270136500,-31.471659,53.841301,0.27860245,-13.620665,0.23902854,-2.3829408,0.27968946,-13.722317,-31.179428,-155.43753
3300135000,-30.811909,57.311272,0.27302524,-13.750076,0.23429801,-2.407275,0.27638096,-13.848226,-31.241095,-153.90816
3330133500,-30.259407,61.540436,0.26995346,-13.876178,0.22975677,-2.4401803,0.27136901,-13.987891,-31.351765,-151.11815
3360132000,-29.853849,66.843384,0.26611459,-14.02422,0.22519112,-2.4762444,0.26876035,-14.139072,-31.595709,-147.11783
3390130500,-29.673725,72.490593,0.26283571,-14.176015,0.22241832,-2.5227263,0.26408356,-14.282823,-31.876007,-141.16655
3420129000,-29.486666,78.396141,0.26213053,-14.320368,0.2198185,-2.5709147,0.26373181,-14.439096,-32.219002,-133.91481
3450127500,-29.527412,84.318481,0.26181078,-14.485052,0.22006162,-2.6262784,0.26363581,-14.594947,-32.452324,-126.5006
3480126000,-29.604116,89.520683,0.26527306,-14.627163,0.22280148,-2.6692083,0.2663902,-14.747725,-32.727306,-119.58548
3510124500,-29.797255,94.292671,0.26656061,-14.766405,0.2240117,-2.7046373,0.26859733,-14.88894,-33.100159,-113.77644
3540123000,-30.097462,97.786484,0.27082863,-14.913404,0.22746447,-2.7383146,0.27198276,-15.020158,-33.543129,-108.88445
3570121500,-30.502535,99.865082,0.2745851,-15.033156,0.23122278,-2.7577055,0.27743357,-15.14162,-34.076313,-105.1886
3600120000,-30.846754,100.22897,0.2772252,-15.143024,0.23398602,-2.7504833,0.28031561,-15.254582,-34.839333,-103.69606
3630118500,-31.141466,100.11922,0.28058302,-15.248187,0.23534074,-2.758229,0.2815856,-15.355902,-35.43816,-102.96725
3660117000,-31.192465,98.54911,0.28005642,-15.34275,0.23562959,-2.7488501,0.28207809,-15.464066,-35.999077,-103.6144
3690115500,-31.121683,98.110924,0.27864176,-15.440935,0.23255678,-2.7363439,0.28145266,-15.566121,-36.10297,-105.20059
3720114000,-30.805559,97.919205,0.27483147,-15.547647,0.22887281,-2.7385564,0.27682886,-15.667342,-36.013195,-105.85188
3750112500,-30.355259,99.453171,0.26931268,-15.658648,0.22301739,-2.7512114,0.27168611,-15.779088,-35.587193,-105.17759
3780111000,-29.790323,101.48423,0.26529646,-15.788221,0.21904229,-2.7808218,0.26757813,-15.902057,-34.854549,-103.5032
3810109500,-29.147699,104.6355,0.26249701,-15.909667,0.21374041,-2.7895668,0.263515,-16.032707,-34.142361,-99.207817
3840108000,-28.594582,108.27541,0.25763637,-16.037081,0.20995264,-2.8192668,0.26014686,-16.150883,-33.465576,-93.314507
3870106500,-28.253256,111.68467,0.25556913,-16.172003,0.20695834,-2.8512611,0.25809592,-16.287334,-32.912418,-88.036301
3900105000,-27.997803,114.91532,0.2575866,-16.295662,0.20909128,-2.8664079,0.25860766,-16.417048,-32.373508,-80.702316
3930103500,-27.973541,117.61418,0.2601805,-16.414679,0.21099237,-2.8846099,0.26119316,-16.528736,-31.967422,-73.492149
3960102000,-28.131977,119.76195,0.26224896,-16.518761,0.21345504,-2.8777025,0.26533446,-16.635891,-31.689877,-67.6175
3990100500,-28.521927,121.87564,0.26720038,-16.617462,0.21774548,-2.8747187,0.27027407,-16.739504,-31.746742,-61.437149
4020099000,-29.039522,123.13413,0.27281278,-16.708414,0.22199284,-2.8650918,0.27282104,-16.826874,-31.957813,-58.266239
4050097500,-29.737291,123.37588,0.27477413,-16.79031,0.22343786,-2.8380468,0.27755111,-16.920904,-32.611626,-54.932011
4080096000,-30.578136,122.8059,0.27502781,-16.883038,0.22429836,-2.8255017,0.27804112,-17.008999,-33.752502,-54.48798
4110094500,-31.188784,120.53428,0.27434501,-16.978203,0.22352834,-2.8198223,0.27714553,-17.102242,-35.082336,-57.18594
4140093000,-31.629148,118.12269,0.26946351,-17.072193,0.21774696,-2.8052368,0.27116084,-17.192354,-36.88237,-62.250965
4170091500,-31.815264,115.29041,0.26568168,-17.162518,0.21188787,-2.7884111,0.26786533,-17.288103,-38.208748,-70.867325
4200090000,-31.595299,113.59321,0.25869206,-17.276932,0.2064089,-2.795804,0.26239711,-17.406647,-39.018696,-82.491158
4230088500,-31.170732,112.78293,0.25168625,-17.397049,0.19906846,-2.8120127,0.25347012,-17.521858,-38.742188,-91.450119
4260087000,-30.680868,113.7197,0.24670537,-17.518364,0.19307019,-2.8325348,0.24775197,-17.645802,-37.872475,-94.301468
4290085500,-30.199835,115.68179,0.24346465,-17.650023,0.18933076,-2.855984,0.24433342,-17.769707,-37.06274,-94.31797
4320084000,-29.786865,117.9964,0.24309261,-17.777666,0.18874042,-2.8808804,0.24441759,-17.899158,-36.135269,-92.841309
4350082500,-29.506065,119.09294,0.24466521,-17.893435,0.18966876,-2.8875511,0.24674547,-18.025656,-35.798405,-90.662521
4380081000,-29.431597,119.73525,0.2478175,-18.015635,0.19284438,-2.9043355,0.24994415,-18.145506,-35.660919,-88.792114
4410079500,-29.579535,119.37213,0.25346819,-18.12574,0.1980333,-2.9145632,0.25476754,-18.25695,-36.188652,-88.945938
4440078000,-29.906124,116.9566,0.25732556,-18.218124,0.20092697,-2.9012432,0.25914225,-18.347765,-37.389561,-90.480957
4470076500,-30.405508,112.69016,0.25991622,-18.301115,0.20273232,-2.8891742,0.263648,-18.431791,-39.296677,-96.895477
4500075000,-30.819769,105.93235,0.26308668,-18.390692,0.20501351,-2.8655932,0.26546448,-18.523151,-41.129337,-112.5223
4530073500,-31.386255,99.560226,0.25688201,-18.488411,0.19967817,-2.8581169,0.25979185,-18.611301,-42.753147,-146.85924
4560072000,-31.794395,92.677544,0.24746686,-18.592764,0.18917611,-2.8668513,0.24928965,-18.713005,-40.442852,-175.34753
4590070500,-31.48513,85.849182,0.24216387,-18.674864,0.18329172,-2.8469517,0.24350283,-18.799105,-38.236073,178.34956
4620069000,-31.31979,82.090607,0.23173472,-18.803288,0.17267179,-2.8652537,0.23341349,-18.934898,-35.958687,174.29884
4650067500,-30.705877,80.101151,0.22499005,-18.930117,0.16606493,-2.8900697,0.2273102,-19.063087,-34.578495,176.22519
4680066000,-30.3286,80.599014,0.21475065,-19.099625,0.15645611,-2.9465983,0.21637885,-19.232321,-33.546738,176.32111
4710064500,-29.573612,82.00573,0.21142879,-19.266632,0.15391743,-3.0123823,0.21375668,-19.399017,-33.332375,-179.02573
4740063000,-28.965588,83.696045,0.2094909,-19.430658,0.15212665,-3.0689175,0.21126556,-19.564894,-33.191566,-177.13139
4770061500,-28.555532,84.440186,0.21227293,-19.610029,0.1542722,-3.1453629,0.21299121,-19.745911,-33.480534,-176.55287
4800060000,-28.265728,84.132515,0.2172634,-19.771715,0.15890749,-3.1926415,0.21883799,-19.912569,-33.937683,-177.06299
4830058500,-28.042625,82.958511,0.2234177,-19.950596,0.16657914,-3.2669208,0.22599228,-20.086731,-34.648464,-179.49367
4860057000,-27.850292,80.088173,0.23157226,-20.089113,0.17272455,-3.3044109,0.23168123,-20.222719,-35.561893,175.85768
4890055500,-27.824007,76.613724,0.2389276,-20.212646,0.18057846,-3.3330321,0.24155079,-20.349672,-35.848949,170.12654
4920054000,-27.773869,71.940025,0.24761064,-20.351294,0.18772757,-3.3600068,0.25019342,-20.484806,-35.203243,164.11308
4950052500,-27.620167,66.270447,0.25511026,-20.508326,0.19332719,-3.4055285,0.25661555,-20.644045,-33.799625,161.27266
4980051000,-27.251631,60.27383,0.26236007,-20.670727,0.20054585,-3.4615481,0.26359928,-20.809528,-32.347225,162.21463
5010049500,-26.683647,56.530586,0.26588768,-20.82502,0.20559177,-3.5133867,0.26662782,-20.956606,-31.251884,163.66171
5040048000,-26.128992,56.784531,0.26378831,-20.922218,0.20228218,-3.5125899,0.26437196,-21.050205,-30.588207,162.18915
5070046500,-25.554699,57.975597,0.26181173,-21.014975,0.19861841,-3.4947913,0.26283279,-21.152519,-30.307804,161.71231
5100045000,-25.097374,59.678825,0.25876278,-21.134911,0.1952832,-3.5100889,0.26082653,-21.267687,-30.306723,161.89862
5130043500,-24.654528,61.972744,0.25806227,-21.277479,0.19365302,-3.5561526,0.25928026,-21.404028,-30.756491,162.91798
5160042000,-24.317507,63.580017,0.2564877,-21.437645,0.19274928,-3.6059399,0.25720698,-21.561867,-31.713923,163.13058
5190040500,-24.185616,65.254028,0.25629979,-21.616877,0.1929969,-3.6888721,0.25828961,-21.752764,-32.993065,165.31628
5220039000,-24.130749,66.857979,0.26139742,-21.783381,0.19644025,-3.7528577,0.26361778,-21.918612,-34.694321,165.73935
5250037500,-24.056429,67.742065,0.26767159,-21.972876,0.20378464,-3.8319163,0.26899347,-22.104303,-36.714108,164.77484
5280036000,-24.053909,67.477875,0.28058255,-22.158951,0.21484032,-3.9148779,0.28069514,-22.301243,-38.817863,162.2471
5310034500,-24.090578,67.678741,0.28991753,-22.334242,0.22455499,-3.9861758,0.29030833,-22.465832,-41.320644,152.25337
5340033000,-24.082092,66.993492,0.29747647,-22.475229,0.23223582,-4.0305414,0.29834658,-22.614311,-41.782436,132.06389
5370031500,-24.075615,65.958443,0.30501407,-22.598547,0.23871052,-4.0461211,0.30572876,-22.740221,-40.250046,111.38835
5400030000,-24.003067,64.543976,0.31077114,-22.697163,0.24194695,-4.0425406,0.31332818,-22.841902,-38.345196,101.65274
5430028500,-23.81719,62.930012,0.31825733,-22.797295,0.24853432,-4.041595,0.31910214,-22.939697,-37.023422,100.50705
5460027000,-23.543207,61.437744,0.32380274,-22.886372,0.2540161,-4.0359697,0.32408383,-23.018499,-36.449165,100.78117
5490025500,-23.195044,60.933559,0.32414535,-22.967602,0.25552225,-4.0113816,0.32714397,-23.105555,-37.037842,100.81292
5520024000,-22.867075,61.753887,0.33008295,-23.047516,0.25929052,-3.991431,0.33087891,-23.188688,-38.891418,100.47524
5550022500,-22.464626,63.810257,0.3337104,-23.116188,0.26126093,-3.9515138,0.33582991,-23.259323,-41.512291,98.137619
5580021000,-22.092155,66.426025,0.33704832,-23.203796,0.26340583,-3.9334803,0.33940035,-23.339338,-44.506359,82.515503
5610019500,-21.699867,69.337181,0.34078816,-23.290934,0.26956424,-3.9183939,0.342421,-23.427837,-46.888569,41.226406
5640018000,-21.253275,72.045616,0.3444674,-23.367508,0.27065596,-3.908828,0.3457073,-23.52128,-42.80703,2.4942241
5670016500,-20.882719,74.271294,0.34924337,-23.449711,0.27523968,-3.8953829,0.35182419,-23.599745,-38.494209,-5.7907858
5700015000,-20.547274,75.816879,0.35530135,-23.53636,0.27986664,-3.8734071,0.35682717,-23.685694,-35.681694,-6.629292
5730013500,-20.317112,76.700874,0.36249503,-23.609211,0.28634784,-3.8544192,0.36288938,-23.765285,-33.547958,-5.3622828
5760012000,-20.118441,77.185692,0.36688775,-23.670853,0.29241621,-3.8076196,0.36883849,-23.821909,-31.816259,-3.320816
5790010500,-20.078583,77.117683,0.36408356,-23.72785,0.28722501,-3.7737064,0.36423877,-23.886253,-30.877523,-0.098087579
5820009000,-19.972746,76.821503,0.37207589,-23.743189,0.29327813,-3.6980579,0.37068948,-23.896423,-30.013775,-0.32446653
5850007500,-19.377598,77.589676,0.38610473,-23.548262,0.30631354,-3.4037201,0.38784564,-23.696976,-28.192936,-2.6921675
5880006000,-19.060965,78.623726,0.38663852,-23.442448,0.30561343,-3.2008667,0.3875975,-23.59671,-27.534212,-1.65288
5910004500,-18.833435,78.737495,0.38974202,-23.435511,0.30845803,-3.0918872,0.39238259,-23.587328,-27.546864,-3.3513122
5940003000,-18.845678,80.32357,0.37028161,-23.502569,0.28702489,-3.0632908,0.37082544,-23.660852,-28.31045,-1.1914715
5970001500,-18.724148,81.981445,0.35029948,-23.55076,0.26838708,-3.0083549,0.35173538,-23.706238,-28.963697,0.7207256
6000000000,-18.258102,83.589699,0.3466658,-23.48634,0.26224309,-2.8485603,0.34621072,-23.641127,-28.576372,-0.56521291
END

